"","title","firstname","middlename","lastname","name_suffix","nickname","party","state","district","in_office","gender","phone","fax","website","webform","congress_office","bioguide_id","votesmart_id","fec_id","govtrack_id","crp_id","twitter_id","congresspedia_url","youtube_url","facebook_id","official_rss","senate_class","birthdate","oc_email"
"3","Rep","Robert","B.","Aderholt","","","R","AL","4",1,"M","202-225-4876","202-225-5587","https://aderholt.house.gov","","235 Cannon House Office Building","A000055",441,"H6AL04098",400004,"N00003028","Robert_Aderholt","http://www.opencongress.org/wiki/Robert_Aderholt","http://youtube.com/RobertAderholt","RobertAderholt",NA,"","1965-07-22","Rep.Aderholt@opencongress.org"
"9","Sen","Lamar","","Alexander","","","R","TN","Senior Seat",1,"M","202-224-4944","202-228-3398","https://www.alexander.senate.gov/public","http://www.alexander.senate.gov/public/index.cfm?p=Email","455 Dirksen Senate Office Building","A000360",15691,"S2TN00058",300002,"N00009888","SenAlexander","http://www.opencongress.org/wiki/Lamar_Alexander","http://youtube.com/lamaralexander","senatorlamaralexander",NA,"II","1940-07-03","Sen.Alexander@opencongress.org"
"18","Rep","Mark","E.","Amodei","","","R","NV","2",1,"M","202-225-6155","202-225-5679","https://amodei.house.gov","","332 Cannon House Office Building","A000369",12537,"H2NV02395",412500,"N00031177","MarkAmodeiNV2","http://www.opencongress.org/wiki/Mark_Amodei","http://youtube.com/markamodeinv2","MarkAmodeiNV2",NA,"","1958-06-12","Rep.Amodei@opencongress.org"
"27","Rep","Joe","Linus","Barton","","","R","TX","6",1,"M","202-225-2002","202-225-3052","https://joebarton.house.gov","","2107 Rayburn House Office Building","B000213",27082,"H4TX06117",400018,"N00005656","RepJoeBarton","http://www.opencongress.org/wiki/Joe_Barton","http://youtube.com/repjoebarton","RepJoeBarton",NA,"","1949-09-15","Rep.Joebarton@opencongress.org"
"39","Sen","Roy","","Blunt","","","R","MO","Junior Seat",1,"M","202-224-5721","202-224-8149","https://www.blunt.senate.gov/public","https://www.blunt.senate.gov/public/index.cfm/contact-roy","260 Russell Senate Office Building","B000575",418,"H6MO07128",400034,"N00005195","RoyBlunt","http://www.opencongress.org/wiki/Roy_Blunt","http://youtube.com/SenatorBlunt","SenatorBlunt",NA,"III","1950-01-10","Sen.Blunt@opencongress.org"
"46","Rep","Kevin","P.","Brady","","","R","TX","8",1,"M","202-225-4901","202-225-5524","https://kevinbrady.house.gov","","1011 Longworth House Office Building","B000755",361,"H6TX08100",400046,"N00005883","RepKevinBrady","http://www.opencongress.org/wiki/Kevin_Brady","http://youtube.com/KBrady8","kevinbrady",NA,"","1955-04-11","Rep.Kevinbrady@opencongress.org"
"51","Sen","Richard","M.","Burr","","","R","NC","Senior Seat",1,"M","202-224-3154","202-228-2981","https://www.burr.senate.gov","https://www.burr.senate.gov/contact/email","217 Russell Senate Office Building","B001135",21787,"S4NC00089",400054,"N00002221","SenatorBurr","http://www.opencongress.org/wiki/Richard_Burr","http://youtube.com/SenatorRichardBurr","SenatorRichardBurr",NA,"III","1955-11-30","Sen.Burr@opencongress.org"
"64","Sen","John","","Boozman","","","R","AR","Senior Seat",1,"M","202-224-4843","202-228-1371","https://www.boozman.senate.gov/public","https://www.boozman.senate.gov/public/index.cfm/contact","141 Hart Senate Office Building","B001236",27958,"H2AR03176",400040,"N00013873","JohnBoozman","http://www.opencongress.org/wiki/John_Boozman","http://youtube.com/BoozmanPressOffice","JohnBoozman",NA,"III","1950-12-10","Sen.Boozman@opencongress.org"
"67","Rep","Marsha","W.","Blackburn","","","R","TN","7",1,"F","202-225-2811","202-225-3004","https://blackburn.house.gov","","2266 Rayburn House Office Building","B001243",25186,"H2TN06030",400032,"N00003105","MarshaBlackburn","http://www.opencongress.org/wiki/Marsha_Blackburn","http://youtube.com/RepMarshaBlackburn","marshablackburn",NA,"","1952-06-06","Rep.Blackburn@opencongress.org"
"71","Rep","Michael","C.","Burgess","","","R","TX","26",1,"M","202-225-7772","202-225-2919","https://burgess.house.gov","","2336 Rayburn House Office Building","B001248",50120,"H2TX26093",400052,"N00025219","MichaelCBurgess","http://www.opencongress.org/wiki/Michael_Burgess","http://youtube.com/michaelcburgessmd","michaelcburgess",NA,"","1950-12-23","Rep.Burgess@opencongress.org"
